ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,ID,Site,Year,Month,Day,Surface Temp C st,Bottom Temp C st,Surface Salinity ppt st,Bottom Salinity ppt st,Surface DO mg/l st,Bottom DO mg/l st,Surface Temp C end,Bottom Temp C end,Surface Salinity ppt end,Bottom Salinity ppt end,Surface DO mg/l end,Bottom DO mg/l end,,Year,Month,Bottom Temp C st,Bottom Salinity ppt st,Bottom DO mg/l st,,Year,Month,Mean Btm Temp,STDEV,Mean Btm Salinity,STDEV,Mean Btm DO,STDEV
10-25-03_4,4,2003,October,25,,,,,,,.,.,.,.,.,.,,10-30-08_1,1,2008,October,30,10.6,10.2,33,33.1,8.36,7.88,.,.,.,.,.,.,,2003,February,10.8,14.7,8.7,,2003,February,10.85,0.07,21.58,4.97,8.79,0.3
10-25-03_4b,4b,2003,October,25,,,,,,,.,.,.,.,.,.,,10-30-08_2,2,2008,October,30,10.2,10.1,33.1,33.1,7.75,7.79,.,.,.,.,.,.,,2003,February,10.9,21.2,8.44,,2003,March,11.3,0.18,22.98,4.19,.,.
10-25-03_3,3,2003,October,25,,,,,,,.,.,.,.,.,.,,10-30-08_3,3,2008,October,30,10.6,10.2,33,33.1,7.66,7.47,.,.,.,.,.,.,,2003,February,.,24.8,8.89,,2003,April,12.12,0.35,24.46,6.47,8.46,0.23
10-27-05_1,1,2005,October,27,,,,,,,.,.,.,.,.,.,,10-30-08_4,4,2008,October,30,10.8,10.5,32.7,32.9,.,.,.,.,.,.,.,.,,2003,February,.,25.6,9.14,,2003,May,12.74,0.79,29.18,4.04,8.7,0.13
10-27-05_2,2,2005,October,27,,,,,,,.,.,.,.,.,.,,10-30-08_5,5,2008,October,30,11.8,11.5,30.6,31.6,7.32,7.32,.,.,.,.,.,.,,2003,March,11.1,20.9,.,,2008,October,10.58,0.64,32.68,0.72,7.62,0.26
10-27-05_3,3,2005,October,27,,,,,,,.,.,.,.,.,.,,11-13-08_4,4,2008,November,13,13,12.7,9,26.9,8.9,7.92,.,.,.,.,.,.,,2003,March,11.2,19.6,.,,2008,November,5.73,6.06,28.66,2.78,8.17,0.18
10-27-05_4,4,2005,October,27,,,,,,,.,.,.,.,.,.,,11-13-08_5,5,2008,November,13,12.5,1.7,4.2,24.8,9.31,8.05,.,.,.,.,.,.,,2003,March,.,29,.,,,,,,,,,
10-27-05_5,5,2005,October,27,,,,,,,.,.,.,.,.,.,,11-13-08_2,2,2008,November,13,12.8,12.7,23.6,31.2,8.16,8.32,.,.,.,.,.,.,,2003,March,11.4,19.7,.,,,,,,,,,
10-30-04_2,2,2004,October,30,,,,,,,.,.,.,.,.,.,,11-13-08_1,1,2008,November,13,12.9,12.7,27.5,31.1,7.94,8.27,.,.,.,.,.,.,,2003,March,11.5,25.7,.,,,,,,,,,
10-30-04_5,5,2004,October,30,,,,,,,.,.,.,.,.,.,,11-13-08_3,3,2008,November,13,13.1,2.8,20.7,29.3,8.27,8.29,.,.,.,.,.,.,,2003,April,11.7,12.1,.,,,,,,,,,
10-30-04_3,3,2004,October,30,,,,,,,.,.,.,.,.,.,,02-16-03_3,3,2003,February,16,10.9,10.9,25,24.8,8.95,8.89,.,.,.,.,.,.,,2003,April,.,29.8,.,,,,,,,,,
10-30-04_4,4,2004,October,30,,,,,,,.,.,.,.,.,.,,02-16-03_4,4,2003,February,16,11,10.9,23.6,21.2,8.7,8.44,.,.,.,.,.,.,,2003,April,11.8,20.9,.,,,,,,,,,
10-30-08_1,1,2008,October,30,10.6,10.2,33,33.1,8.36,7.88,.,.,.,.,.,.,,02-16-03_5,5,2003,February,16,10.7,10.8,22.2,14.7,8.4,8.7,.,.,.,.,.,.,,2003,April,12,29.2,8.15,,,,,,,,,
10-30-08_2,2,2008,October,30,10.2,10.1,33.1,33.1,7.75,7.79,.,.,.,.,.,.,,02-16-03_2,2,2003,February,16,10.9,10.9,25.6,25.6,9.29,9.14,.,.,.,.,.,.,,2003,April,12.2,22.5,8.5,,,,,,,,,
10-30-08_3,3,2008,October,30,10.6,10.2,33,33.1,7.66,7.47,.,.,.,.,.,.,,03-15-03_5,5,2003,March,15,11.1,11.2,6.7,19.6,.,.,11.2,11.2,8,15,.,.,,2003,April,12.4,27.7,8.5,,,,,,,,,
10-30-08_4,4,2008,October,30,10.8,10.5,32.7,32.9,,,.,.,.,.,.,.,,03-15-03_1,1,2003,March,15,11.5,11.2,20.7,29,.,.,11.4,11.2,18.6,28.6,.,.,,2003,April,12.6,29,8.7,,,,,,,,,
10-30-08_5,5,2008,October,30,11.8,11.5,30.6,31.6,7.32,7.32,.,.,.,.,.,.,,03-15-03_2,2,2003,March,15,11.5,11.5,19,25.7,.,.,11.7,11.8,18.5,20.9,.,.,,2003,May,12,33.9,8.65,,,,,,,,,
11-13-08_4,4,2008,November,13,13,12.7,9,26.9,8.9,7.92,.,.,.,.,.,.,,03-15-03_3,3,2003,March,15,11.5,11.4,13,19.7,.,.,11.2,11.2,13,20.5,.,.,,2003,May,12.3,33.2,8.85,,,,,,,,,
11-13-08_5,5,2008,November,13,12.5,1.7,4.2,24.8,9.31,8.05,.,.,.,.,.,.,,03-15-03_4,4,2003,March,15,11.4,11.1,8.2,20.9,.,.,11.4,11.2,8,20,.,.,,2003,May,12.4,26.5,8.72,,,,,,,,,
11-13-08_2,2,2008,November,13,12.8,12.7,23.6,31.2,8.16,8.32,.,.,.,.,.,.,,04-12-03_3,3,2003,April,12,12.2,11.7,16.1,29.8,.,.,12.2,11.8,15.4,30.4,.,.,,2003,May,13,27,8.51,,,,,,,,,
11-13-08_1,1,2008,November,13,12.9,12.7,27.5,31.1,7.94,8.27,.,.,.,.,.,.,,04-12-03_5,5,2003,April,12,12.1,11.8,9.9,20.9,.,.,12.2,11.8,10.6,27,.,.,,2003,May,14,25.3,8.75,,,,,,,,,
11-13-08_3,3,2008,November,13,13.1,2.8,20.7,29.3,8.27,8.29,.,.,.,.,.,.,,04-12-03_2,2,2003,April,12,12.1,11.7,19.5,12.1,.,.,12.1,12.1,21.6,29,.,.,,2008,October,10.1,33.1,7.79,,,,,,,,,
11-14-03_1,1,2003,November,14,,,,,,,.,.,.,.,.,.,,04-27-03_2,2,2003,April,27,13.3,12.6,23.8,29,8.3,8.7,13.2,12,22.8,30.7,8.97,8.4,,2008,October,10.2,33.1,7.47,,,,,,,,,
11-14-03_2,2,2003,November,14,,,,,,,.,.,.,.,.,.,,04-27-03_3,3,2003,April,27,13.2,12.4,23.7,27.7,9.24,8.5,.,.,.,.,.,.,,2008,October,.,.,7.88,,,,,,,,,
11-14-03_3,3,2003,November,14,,,,,,,.,.,.,.,.,.,,04-27-03_4,4,2003,April,27,12.7,12,23.4,29.2,8.67,8.15,12.8,12,20.1,29.2,8.75,8.17,,2008,October,10.5,32.9,.,,,,,,,,,
11-30-04_3,3,2004,November,30,,,,,,,.,.,.,.,.,.,,04-27-03_5,5,2003,April,27,12.2,12.2,13.3,22.5,9.4,8.5,12.6,12.1,17,25.5,9.2,8.5,,2008,October,11.5,31.6,7.32,,,,,,,,,
11-30-04_4,4,2004,November,30,,,,,,,.,.,.,.,.,.,,05-11-03_5,5,2003,May,11,14,14,19.4,25.3,9.3,8.75,13.8,13.6,18.9,22.4,9.32,8.5,,2008,November,1.7,24.8,8.05,,,,,,,,,
11-30-04_2,2,2004,November,30,,,,,,,.,.,.,.,.,.,,05-11-03_2,2,2003,May,11,13.4,12.3,28.3,33.2,8.6,8.85,13.9,12.8,27.3,32.3,9.1,9.1,,2008,November,2.8,29.3,8.29,,,,,,,,,
11-30-04_5,5,2004,November,30,,,,,,,.,.,.,.,.,.,,05-11-03_1,1,2003,May,11,13.8,12,29.6,33.9,8.68,8.65,14.3,12.3,29.2,33.5,8.5,8.5,,2008,November,12.7,26.9,7.92,,,,,,,,,
01-18-03_1,1,2003,January,18,,,,,,,.,.,.,.,.,.,,05-11-03_4,4,2003,May,11,13.5,13,26.3,27,9.051,8.51,13.7,13.4,32.1,23.7,9.52,8.88,,2008,November,.,31.1,8.27,,,,,,,,,
01-18-03_2,2,2003,January,18,,,,,,,.,.,.,.,.,.,,05-11-03_3,3,2003,May,11,13.2,12.4,33.1,26.5,8.3,8.72,13.2,12.4,28,32.8,8.56,8.31,,2008,November,.,31.2,8.32,,,,,,,,,
01-18-03_3,3,2003,January,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-18-03_4,4,2003,January,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-24-04_5,5,2004,January,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-24-04_4,4,2004,January,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-24-04_3,3,2004,January,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-24-04_2,2,2004,January,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-6-03_3,3,2003,December,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-6-03_4,4,2003,December,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-6-03_5,5,2003,December,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-6-03_2,2,2003,December,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27-05_4,4,2005,January,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27-05_5,5,2005,January,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27-05_3,3,2005,January,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27-05_2,2,2005,January,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27-05_1,1,2005,January,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-16-03_3,3,2003,February,16,10.9,10.9,25,24.8,8.95,8.89,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-16-03_4,4,2003,February,16,11,10.9,23.6,21.2,8.7,8.44,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-16-03_5,5,2003,February,16,10.7,10.8,22.2,14.7,8.4,8.7,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-16-03_2,2,2003,February,16,10.9,10.9,25.6,25.6,9.29,9.14,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-21-04_5,5,2004,February,21,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-21-04_3,3,2004,February,21,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-21-04_4,4,2004,February,21,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-24-05_5,5,2005,February,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-24-05_4,4,2005,February,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-24-05_1,1,2005,February,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-24-05_3,3,2005,February,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-24-05_2,2,2005,February,24,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-15-03_5,5,2003,March,15,11.1,11.2,6.7,19.6,,,11.2,11.2,8,15,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-15-03_1,1,2003,March,15,11.5,11.2,20.7,29,,,11.4,11.2,18.6,28.6,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-15-03_2,2,2003,March,15,11.5,11.5,19,25.7,,,11.7,11.8,18.5,20.9,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-15-03_3,3,2003,March,15,11.5,11.4,13,19.7,,,11.2,11.2,13,20.5,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-15-03_4,4,2003,March,15,11.4,11.1,8.2,20.9,,,11.4,11.2,8,20,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-20-04_5,5,2004,March,20,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-20-04_4,4,2004,March,20,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-20-04_2,2,2004,March,20,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-20-04_3,3,2004,March,20,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-31-05_5,5,2005,March,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-31-05_2,2,2005,March,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-31-05_3,3,2005,March,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-31-05_4,4,2005,March,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-12-03_3,3,2003,April,12,12.2,11.7,16.1,29.8,,,12.2,11.8,15.4,30.4,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-12-03_5,5,2003,April,12,12.1,11.8,9.9,20.9,,,12.2,11.8,10.6,27,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-12-03_2,2,2003,April,12,12.1,11.7,19.5,12.1,,,12.1,12.1,21.6,29,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-17-04_1,1,2004,April,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-17-04_2,2,2004,April,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-17-04_3,3,2004,April,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-17-04_4,4,2004,April,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-17-04_5,5,2004,April,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-21-05_2,2,2005,April,21,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-21-05_5,5,2005,April,21,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-21-05_3,3,2005,April,21,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-21-05_4,4,2005,April,21,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-27-03_2,2,2003,April,27,13.3,12.6,23.8,29,8.3,8.7,13.2,12,22.8,30.7,8.97,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-27-03_3,3,2003,April,27,13.2,12.4,23.7,27.7,9.24,8.5,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-27-03_4,4,2003,April,27,12.7,12,23.4,29.2,8.67,8.15,12.8,12,20.1,29.2,8.75,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-27-03_5,5,2003,April,27,12.2,12.2,13.3,22.5,9.4,8.5,12.6,12.1,17,25.5,9.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_5,5,2003,May,11,14,14,19.4,25.3,9.3,8.75,13.8,13.6,18.9,22.4,9.32,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_2,2,2003,May,11,13.4,12.3,28.3,33.2,8.6,8.85,13.9,12.8,27.3,32.3,9.1,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_1,1,2003,May,11,13.8,12,29.6,33.9,8.68,8.65,14.3,12.3,29.2,33.5,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_4,4,2003,May,11,13.5,13,26.3,27,9.05,8.51,13.7,13.4,32.1,23.7,9.52,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-11-03_3,3,2003,May,11,13.2,12.4,33.1,26.5,8.3,8.72,13.2,12.4,28,32.8,8.56,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_3,3,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_2,2,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_4,4,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-17-04_5,5,2004,May,17,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_2,2,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_5,5,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_3,3,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_1,1,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-6-05_4,4,2005,May,6,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_2,2,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_3,3,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_4,4,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-1-05_5,5,2005,June,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_3,3,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_4,4,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_2,2,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_1,1,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-18-04_5,5,2004,June,18,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-7-03_3,3,2003,June,7,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-7-03_4,4,2003,June,7,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-7-03_5,5,2003,June,7,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-1-05_3,3,2005,July,1,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2-03_3b,3b,2003,July,2,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2-03_5,5,2003,July,2,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2-03_3,3,2003,July,2,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_3,3,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_4,4,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_5,5,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-22-04_2,2,2004,July,22,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-27-05_4,4,2005,July,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-27-05_5,5,2005,July,27,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_2,2,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_4,4,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_3,3,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_1,1,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-30-03_2b,2b,2003,July,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-30-03_2,2,2003,August,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-30-03_3,3,2003,August,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-30-03_5,5,2003,August,30,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_3,3,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_4,4,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_2,2,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_1,1,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-31-04_5,5,2004,August,31,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-5-05_1,1,2005,August,5,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-5-05_2,2,2005,August,5,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-5-05_3,3,2005,August,5,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-28-05_1,1,2005,September,28,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-28-05_3,3,2005,September,28,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-28-05_4,4,2005,September,28,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-29-04_3,3,2004,September,29,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-29-04_2,2,2004,September,29,,,,,,,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,